Station,Entries,Latitude,Longitude,Year
Parkdale,69450,-37.99307882,145.0763268,2023
Parkdale,268050,-37.99307882,145.0763268,2024
Parliament,2213650,-37.81105406,144.9729109,2020
Parliament,5862900,-37.81105406,144.9729109,2023
Parliament,6344650,-37.81105406,144.9729109,2024
Pascoe Vale,530800,-37.73075596,144.9281956,2023
Pascoe Vale,538950,-37.73075596,144.9281956,2024
Patterson,248350,-37.92514919,145.03547,2023
Patterson,287550,-37.92514919,145.03547,2024
Prahran,473550,-37.84951848,144.9898599,2020
Prahran,893300,-37.84951848,144.9898599,2023
Prahran,879500,-37.84951848,144.9898599,2024
Preston,568750,-37.73867424,145.000522,2023
Preston,581250,-37.73867424,145.000522,2024
Regent,369000,-37.72840277,145.0027726,2023
Regent,382700,-37.72840277,145.0027726,2024
Reservoir,349200,-37.71688492,145.0069958,2020
Reservoir,852650,-37.71688492,145.0069958,2023
Reservoir,757800,-37.71688492,145.0069958,2024
Richmond,1292650,-37.82407446,144.9901643,2020
Richmond,3722400,-37.82407446,144.9901643,2023
Richmond,3712750,-37.82407446,144.9901643,2024
Ringwood,852050,-37.81588648,145.2289685,2020
Ringwood,1606950,-37.81588648,145.2289685,2023
Ringwood,1514250,-37.81588648,145.2289685,2024
Ringwood East,213500,-37.81196804,145.2501909,2023
Ringwood East,268800,-37.81196804,145.2501909,2024
Ripponlea,487100,-37.87590643,144.9952366,2023
Ripponlea,465900,-37.87590643,144.9952366,2024
Riversdale,146100,-37.83150543,145.069646,2023
Riversdale,144000,-37.83150543,145.069646,2024
Rosanna,505100,-37.7428786,145.0661403,2023
Rosanna,432900,-37.7428786,145.0661403,2024
Roxburgh Park,512350,-37.63823121,144.9354037,2023
Roxburgh Park,498650,-37.63823121,144.9354037,2024
Royal Park,304600,-37.78119293,144.9523013,2023
Royal Park,291800,-37.78119293,144.9523013,2024
Rushall,119850,-37.78321711,144.9924071,2023
Rushall,123150,-37.78321711,144.9924071,2024
Ruthven,302050,-37.70789754,145.0095166,2023
Ruthven,289350,-37.70789754,145.0095166,2024
Sandown Park,421450,-37.95650457,145.1628259,2023
Sandown Park,458700,-37.95650457,145.1628259,2024
Sandringham,350400,-37.95033018,145.0045614,2020
Sandringham,786850,-37.95033018,145.0045614,2023
