SA2_CODE_2021,PT_Total,Commuted_Total,PT_percent
204031068,5,1537,0.32530904359141183
204031069,28,2914,0.9608785175017158
204031070,4,1206,0.33167495854063017
204031071,10,1715,0.5830903790087464
204031072,6,2042,0.2938295788442703
204031073,39,5852,0.6664388243335612
204031075,3,1862,0.1611170784103115
204031491,14,5430,0.2578268876611418
204031492,41,5527,0.741812918400579
205011076,105,6558,1.6010978956999087
205011077,3,2151,0.1394700139470014
205011078,23,2846,0.8081517919887562
205011079,88,7922,1.110830598333754
205021080,0,0,
205021081,23,5204,0.4419677171406611
205021082,5,2923,0.17105713308244952
205021083,0,0,
205021084,10,2968,0.3369272237196766
205021085,9,1815,0.49586776859504134
205021086,10,1788,0.5592841163310962
205031087,4,2645,0.15122873345935728
205031088,4,28,14.285714285714285
205031089,18,3257,0.552655818237642
205031090,16,3703,0.43208209559816363
205031091,16,3660,0.4371584699453552
205031092,0,5,0.0
205031093,35,7761,0.45097281278185797
205041094,24,3845,0.6241872561768531
205041095,72,5132,1.4029618082618862
205041096,82,3756,2.183173588924388
205041098,3,1749,0.17152658662092624
205041493,51,4085,1.2484700122399022
205041494,64,6182,1.035263668715626
205051099,0,7,0.0
205051100,14,1558,0.8985879332477535
205051101,29,4927,0.5885934645829105
205051102,9,1418,0.6346967559943583
205051103,21,5214,0.4027617951668585
205051104,11,1646,0.6682867557715675
206011106,684,3528,19.387755102040817
206011107,623,4314,14.441353732035234
206011109,239,2926,8.168147641831853
206011495,742,3603,20.593949486538996
206011496,707,3611,19.579063971199115
206011497,560,3399,16.475433951162106
206011498,463,3657,12.660650806672136
206021110,270,2243,12.037449843958983
206021112,653,4990,13.086172344689379
206021499,492,3629,13.55745384403417
206021500,414,2547,16.25441696113074
206031113,520,3928,13.238289205702646
206031115,519,2341,22.17001281503631
206031116,779,4670,16.680942184154176
206031501,365,4829,7.5585007247877405
206031502,550,3728,14.753218884120173
206041117,1241,4425,28.045197740112993
206041118,1428,4280,33.36448598130841
206041119,201,1282,15.678627145085802
206041120,3,26,11.538461538461538
206041121,538,2752,19.549418604651162
206041124,387,1980,19.545454545454547
206041125,299,1616,18.502475247524753
206041127,0,0,
206041503,1178,3005,39.20133111480865
206041504,2432,5500,44.21818181818182
206041505,2576,5486,46.95588771418156
206041506,925,4332,21.352723915050785
206041507,0,0,
206041508,507,2011,25.2113376429637
206041509,1613,5603,28.788149205782616
206041510,644,2423,26.578621543541065
206051128,604,3932,15.361139369277721
206051129,472,4108,11.489776046738072
206051130,332,3879,8.558906934777005
206051134,879,4649,18.907291890729187
206051511,67,665,10.075187969924812
206051512,502,2900,17.310344827586206
206051513,806,3879,20.77855117298273
206051514,792,3963,19.984859954579864
206061135,396,2426,16.323165704863975
206061136,1093,5706,19.155275148966
206061138,342,3141,10.888252148997136
206061515,891,3440,25.901162790697676
206061516,589,2662,22.126220886551465
206071139,550,2744,20.043731778425656
206071140,359,2168,16.559040590405903
206071141,432,2519,17.149662564509725
206071142,413,2602,15.872405841660262
206071143,457,3063,14.920013059092394
206071145,294,2412,12.189054726368159
206071517,857,5176,16.557187017001546
206071518,797,4168,19.121880998080616
207011146,147,1768,8.314479638009049
207011147,327,3756,8.706070287539937
207011148,349,5263,6.6311989359680785
207011149,483,4724,10.224386113463167
207011150,308,3897,7.903515524762637
207011152,595,4118,14.448761534725596
207011154,114,1684,6.7695961995249405
207011155,342,3479,9.8304110376545
207011519,382,2551,14.97451979615837
207011520,601,3221,18.658801614405466
207011521,224,2870,7.804878048780488
207011522,268,3364,7.966706302021404
207021156,206,3145,6.5500794912559615
207021157,593,6714,8.832290735775992
207021159,208,4369,4.7608148317692836
207021160,216,3550,6.084507042253521
207021424,298,4185,7.120669056152927
207021425,309,3945,7.832699619771863
207031161,567,5624,10.081792318634424
207031162,147,2764,5.318379160636758
